idannonce,prix_bien
guy-hoquet-immo-facile-2674930,175000
ag681110-285242069,238000
rodacom-4487081,222600
mgc-295848603-SJ-210330-100257,342000
hektor-girardi-blotzheim-2770,365000
immo-facile-50581392,149000
ag340369-251394220,305901
guy-hoquet-immo-facile-5798348,215000
guy-hoquet-immo-facile-5775397,98500
mgc-319349366-C-ISS-553-SB,347000
rodacom-4639752,81750
ag681110-377049562,288750
ag680824-275311934,89000
ag681113-301834800,130000
guy-hoquet-immo-facile-6118434,107800
ag671791-302684421,695000
immo-facile-40979536,130000
immo-facile-adresse-12077923,230000
orpi-1-054927E1MADL,247500
ag743447-382115944,624000
mgc-381821372-CWE-230411-174833,282000
ag681158-358060549,365000
ag681158-301121769,123000
immo-facile-46980662,140000
rodacom-4426186,215000
151428891,175000
orpi-1-054927E1PC3B,175000
ag681237-381833764,165075
hektor-mhimmobilier-1408,420000
guy-hoquet-immo-facile-4531946,190000
hektor-homeettoits-106,199500
guy-hoquet-immo-facile-5790678,146000
hektor-robischung-2542,295000
hektor-MAYAIMMO2020-1736,729000
rodacom-4956621,275000
ag681237-284801579,190900
ag681425-352846435,259700
ag671791-283067261,80000
gedeon-25096567,166000
ag681158-320177997,750000
immo-facile-43845941,239000
iad-france-1226850,99000
immo-facile-48298667,280800
hektor-MAYAIMMO2020-2215,247000
immo-facile-46083828,239200
ag681110-322206006,296000
guy-hoquet-immo-facile-5873203,110400
nexity-GB00117894,79500
orpi-1-054041E20E2H,140000
ag681444-375978004,89500
ag671791-283790714,192000
immo-facile-49988988,366800
orpi-1-054048E1GG5C,212000
mgc-177147544,226500
ag340369-246773992,210705
ag681158-367465381,71000
mgc-371568248-MS-230105-104203,360000
hektor-moebel-immo-335,540000
ag681104-380391304,195000
ag680286-326675943,335000
ag681156-252595234,179900
apimo-82450977,325000
mgc-370345765-2212LPILLZACH4502P100,345000
entities-1043690-3587705,379315
immo-facile-47554738,200000
ag671474-257130700,89000
160988197,240500
orpi-1-054927E2GMAO,78000
guy-hoquet-immo-facile-2710592,105000
century-21-202_3377_1182,171000
guy-hoquet-immo-facile-3009316,318000
ag681332-343249338,320000
immo-facile-41390486,75760
nexity-GB00162899,149000
guy-hoquet-immo-facile-6050848,263500
gedeon-24885749,315000
hektor-CGAIMMOBILIER-1741,211770
rodacom-4435209,239000
entities-1043690-3670538,369251
rodacom-4435204,219000
gedeon-26352000,189500
ag680254-355161847,212000
mgc-361087574-MS-221004-111004,270000
hektor-3ROIIMMOBILIERE-995,126000
ag681106-364240273,417000
mgc-352120117-VM-SCHLIERBACH-2022137,337019
hektor-expertiseimmo-71,480000
apimo-5126986,90000
immo-facile-51778768,125000
ag670547-273023960,75000
entities-1044598-2652769,408790
ag301615-375924504,98000
nexity-GB00100814,59000
nexity-GB00121063,66000
ag681106-375629314,243000
immo-facile-49000793,140000
entities-1044601-2697027,968800
immo-facile-35610389,388960
orpi-1-054041E1NPKD,150500
ag681391-331334319,384100
ag671791-308727450,130000
immo-facile-52233936,385000
safti-1-598585,235000
rodacom-4746706,205000
hektor-girardi-pfastatt-2951,252000
mgc-371698661-CWE-230106-104938,445000
rodacom-4347111,395000
ag681237-333339414,181050
entities-1044601-2758131,671250
hektor-generalimmo-3364,740000
ag671791-305065941,200000
ag671791-288496787,98000
ag340369-370810399,169600
ag670426-343593723,282000
160627517,340450
guy-hoquet-immo-facile-4336872,176800
hektor-MAYAIMMO2020-2454,270000
guy-hoquet-immo-facile-5975068,82500
immo-facile-35929260,114896
immo-facile-35307697,100000
ag681156-304938057,110000
immo-facile-35463005,119800
rodacom-4882706,700000
apimo-8158134,474000
ag681088-338822634,169000
ag681158-323752869,301000
entities-1044599-2637213,332700
mgc-177145236,185000
guy-hoquet-immo-facile-4925993,265000
immo-facile-49581868,312000
orpi-1-054927E1D2P4,197950
ag681391-344875284,215000
ag681234-344072832,129600
ag681110-261543403,100000
rodacom-5232606,184500
iad-france-1332372,335000
ag440414-183226837,245000
apimo-5982438,289000
ag680297-303409035,98000
safti-1-691008,195000
ag681494-358226617,138500
hektor-robischung-2568,170000
ag681391-331334253,373600
laforet-immo-facile-21472616,336000
hektor-generalimmo-3233,298000
ag680824-249170794,157000
rodacom-4789578,232100
ag681122-291495680,640000
orpi-1-054039E1MR2F,110000
iad-france-825076,302000
immo-facile-39403261,323000
hektor-cpdelta-243,223000
ag671791-301959195,171000
hektor-girardi-pfastatt-2687,208000
citya-immobilier-1273-TAPP428170A,83000
ag671759-375190327,164900
immo-facile-3070974,348936
ag671791-289446557,447000
visiteonline-constructeur-p_5226230-l_9757327,259000
ag681423-351471412,124950
147434545,269600
ag671791-315973596,240000
ag680286-375608443,170000
ag681158-373309396,336000
ag681158-308937537,248000
161572093,401790
guy-hoquet-immo-facile-5505874,421000
147811607,140980
ag671791-293772254,117000
ag681234-362540665,149800
ag680734-379866651,63300
ag681158-379789615,352000
hektor-1_lerosenberg-1533,349000
ag681234-366640465,129600
entities-1044602-2675415,855020
mgc-383564791-CWE-230427-153256,269000
rodacom-4807249,249200
161545455,213000
hektor-1_lerosenberg-1438,640000
mgc-357916522-3CARSPACH450LPP97P,322500
hektor-MAYAIMMO2020-798,247200
immo-facile-39884411,259000
iad-france-1020544,210000
ag681237-361624804,118000
159493587,120000
ag681391-365796181,255000
gedeon-23728759,380000
hektor-moebel-immo-101,399000
mgc-276812675-RK_MSB-M_m-19_CERNAY_68700_TM330,249000
160967601,239916
guy-hoquet-immo-facile-5675393,158500
ag681237-314311413,140400
ag681075-338352951,273000
apimo-8158383,481000
ag681237-300445842,190000
hektor-CCLAUSSSelestat-336,120366
ag681542-379152588,131900
guy-hoquet-immo-facile-2628949,92000
ag681391-350864212,348000
immo-facile-39611259,340000
safti-1-778555,167000
ag681120-365765848,357000
ag681156-363024673,90000
138620857,179000
ag681332-351974857,204000
ag681237-277454588,400000
guy-hoquet-immo-facile-5737500,249000
ag671474-281858237,165000
ag681113-269114750,350000
safti-1-771209,188000
safti-1-567100,187000
orpi-1-054039E1T133,245000
immo-facile-40709598,116000
orpi-1-054933E2M8EL,823000
ag671791-320906748,95000
guy-hoquet-immo-facile-4962528,175000
orpi-1-054039E18IZ6,292000
ag743447-376929562,338000
guy-hoquet-immo-facile-2733869,355000
hektor-immo-wittenheim-3203,431600
entities-1044599-2792264,369400
ag340369-328260264,61000
gedeon-24751850,354000
hektor-MAYAIMMO2020-2378,399000
guy-hoquet-immo-facile-2775185,235000
orpi-1-054037E1Z7YB,525600
entities-1044601-2814158,725000
immo-facile-32380873,75000
ag671791-281162630,315000
hektor-MAYAIMMO2020-2411,139500
entities-1043690-3679163,351940
safti-1-647016,105000
hektor-MAYAIMMO2020-2578,199500
ag680632-249531094,78500
132004639,305950
rodacom-4401726,255000
ag681444-345598074,395000
orpi-1-054932E20PLN,220000
ag671913-375890281,143000
ag671791-352059532,122000
hektor-LECEDREIMMO-172,168000
hektor-MAYAIMMO2020-1884,189000
158194113,305600
ag440414-326743992,242000
immo-facile-50217609,575000
ag743447-382741313,362000
ag671913-372737407,199990
adapt-immo-680081297,127200
mgc-348915123-2HEIMERSDORF610LPPP97,310299
safti-1-557112,143000
ag681106-354779134,184000
ag671791-283263029,151000
hektor-girardi-pfastatt-1883,180000
safti-1-794479,89000
mgc-118756865_EK-0610-DURM1-EK-0610-DURM1-110-EK-0610-DURM1-EK-0610-DURM1-110,395175
hektor-1_lerosenberg-1831,180000
guy-hoquet-immo-facile-2295055,118000
entities-1044599-2745259,362800
safti-1-716524,75000
immo-facile-39628316,310000
gedeon-23682678,219000
ag681120-361119601,322400
entities-1044598-2758122,335100
laforet-immo-facile-21175176,583000
ag681156-354241369,316000
immo-facile-3726355,316500
ag681106-360349762,195000
ag753274-340920117,398500
ag681237-308360280,147960
immo-facile-50485516,192600
ag681158-377555680,492000
ag681332-318273735,174000
guy-hoquet-immo-facile-6008385,295000
hektor-1_lerosenberg-107,499000
ag680286-288170465,525000
entities-1043690-3849691,347000
150550521,179000
orpi-1-054039E1W8AX,83000
apimo-8158332,270690
hektor-deuxmm-53,310000
150233153,71500
orpi-1-054041E1LANN,223440
ag681156-269780462,225000
hektor-ag-orim-1072,135000
nexity-GB00150212,65000
hektor-alaingimmo-322,300000
ag681237-313383447,682500
immo-facile-40375429,249600
mgc-118756865_EK-JETT-LOT2-936-EK-JET-LOT2-2P-112-EK-JETT-LOT2-936-EK-JET-LOT2-2P-112,397500
hektor-girardi-blotzheim-2712,186000
157965073,239500
laforet-immo-facile-20832732,321000
hektor-ELSASS2020-904,324450
ag670640-224426515,148000
orpi-1-054927E1YVMY,116600
ag681108-317200854,238000
ag671791-364653130,277000
immo-facile-32873911,79000
laforet-immo-facile-20859922,614800
ag671791-295064447,122000
adapt-immo-680091502,300000
hektor-MAYAIMMO2020-2555,549500
guy-hoquet-immo-facile-2758684,212000
immo-facile-39670992,267500
ag671646-362148397,380000
hektor-amsignatureimmo-78,624000
ag680575-141791245,292000
immo-facile-52418061,525000
rodacom-4607646,145000
immo-facile-40160738,199700
ag681204-344622201,167000
iad-france-1234899,179900
ag680010-278688884,189000
immo-facile-47554673,240000
ag681106-340703727,468000
safti-1-846095,210000
ag340369-296974866,183500
orpi-1-054934E29QG6,199000
ag060811-261220837,116600
ag340369-377811256,124000
visiteonline-p_5526874,220200
hektor-cdrieux-892,66000
ag681158-380368081,513000
guy-hoquet-immo-facile-1935012,135000
hektor-sweethomeconseil-1201,199000
ag671791-303690876,498000
immo-facile-34065895,194480
ag681122-306845304,199500
immo-facile-2209021,308510
hektor-LECEDREIMMO-187,68000
ag680010-329080593,89100
immo-facile-33582842,440000
144680127,137000
ag751938-324829368,74990
ag671791-291171698,95000
immo-facile-52217949,139000
rodacom-4687554,166000
century-21-202_3377_877,230000
ag681210-369923824,249000
laforet-immo-facile-20903657,321000
ag681212-334863372,137000
ag743447-363148024,233500
ag060811-328051482,198000
ag671633-324459408,210000
ag681145-382733387,378000
150944145,212400
hektor-generalimmo-3267,138000
157403471,322865
immo-facile-46521764,128400
hektor-ghisimmobilier-1823,419900
ag681156-354241351,253000
orpi-1-054927E256JB,243000
ag681158-352564219,263000
iad-france-786642,54000
mgc-172836042,292500
safti-1-636948,75000
guy-hoquet-immo-facile-5598604,249400
immo-facile-51400865,155000
ag681106-320518221,416000
hektor-MAYAIMMO2020-2499,174000
apimo-6264080,159000
guy-hoquet-immo-facile-5793153,168500
ag671791-358191703,102600
iad-france-957586,128000
guy-hoquet-immo-facile-2632137,337000
ag681237-318036180,249000
hektor-MAYAIMMO2020-1862,88000
hektor-cpdelta-50,310500
mgc-293881020-SJ-210316-100629,283200
ag670640-251890801,325000
orpi-1-054039E1LCIZ,292555
iad-france-781590,170000
immo-facile-33604071,597400
ag681158-380266726,279000
orpi-1-054927E2B4SM,425000
safti-1-502656,139000
ag681425-368176771,725000
ag681156-354241381,369000
ag681088-344390997,247000
hektor-lifeimmo-1964,360400
ag681237-381116467,100000
entities-1044599-2794540,359868
160084527,110000
hektor-girardi-pfastatt-3164,86000
mgc-381370026-C-HOU-280-84-AG3,289900
safti-1-519722,112900
mgc-383243993-CLM-ILLHAEUSERN-04242023,325971
mgc-374288219-pp-230130-100541,368940
rodacom-4453817,225000
158720349,130000
ag680575-181027558,295000
rodacom-4929418,137800
ag681106-351763267,475000
entities-1044598-2652768,333058
hektor-agence-efco-immo-1909,259000
immo-facile-42373619,136500
hektor-dagon68500-2391,505000
guy-hoquet-immo-facile-2206684,210000
158553751,436241
hektor-girardi-pfastatt-3339,410000
citya-immobilier-1273-TAPP462893,369000
immo-facile-33712329,375000
orpi-1-054037E284HL,280000
ag671791-291697709,117000
ag681113-313615257,306000
